ts_mono,ts_wall,image_name
6362.674341,1777547921.708768,frame_6362.674341.jpg
6362.786693,1777547921.821137,frame_6362.786693.jpg
6362.898730,1777547921.933170,frame_6362.898730.jpg
6363.010287,1777547922.044713,frame_6363.010287.jpg
6363.122694,1777547922.157136,frame_6363.122694.jpg
6363.234554,1777547922.269001,frame_6363.234554.jpg
6363.346165,1777547922.380589,frame_6363.346165.jpg
6363.458821,1777547922.493261,frame_6363.458821.jpg
6363.570125,1777547922.604554,frame_6363.570125.jpg
6363.682684,1777547922.717124,frame_6363.682684.jpg
6363.794716,1777547922.829160,frame_6363.794716.jpg
6363.906174,1777547922.940599,frame_6363.906174.jpg
6364.018611,1777547923.053050,frame_6364.018611.jpg
6364.130472,1777547923.164911,frame_6364.130472.jpg
6364.242246,1777547923.276671,frame_6364.242246.jpg
6364.354632,1777547923.389075,frame_6364.354632.jpg
6364.466519,1777547923.500958,frame_6364.466519.jpg
6364.578157,1777547923.612582,frame_6364.578157.jpg
6364.690842,1777547923.725294,frame_6364.690842.jpg
6364.802724,1777547923.837167,frame_6364.802724.jpg
6364.914176,1777547923.948601,frame_6364.914176.jpg
6365.026846,1777547924.061293,frame_6365.026846.jpg
6365.138581,1777547924.173020,frame_6365.138581.jpg
6365.250240,1777547924.284665,frame_6365.250240.jpg
6365.362826,1777547924.397269,frame_6365.362826.jpg
6365.474412,1777547924.508852,frame_6365.474412.jpg
6365.586607,1777547924.621040,frame_6365.586607.jpg
6365.698815,1777547924.733264,frame_6365.698815.jpg
6365.810204,1777547924.844630,frame_6365.810204.jpg
6365.922707,1777547924.957152,frame_6365.922707.jpg
6366.034677,1777547925.069121,frame_6366.034677.jpg
6366.146143,1777547925.180566,frame_6366.146143.jpg
6366.258834,1777547925.293278,frame_6366.258834.jpg
6366.370765,1777547925.405211,frame_6366.370765.jpg
6366.482172,1777547925.516598,frame_6366.482172.jpg
6366.594686,1777547925.629126,frame_6366.594686.jpg
6366.706610,1777547925.741050,frame_6366.706610.jpg
6366.818119,1777547925.852556,frame_6366.818119.jpg
6366.930594,1777547925.965025,frame_6366.930594.jpg
6367.042719,1777547926.077162,frame_6367.042719.jpg
6367.154262,1777547926.188696,frame_6367.154262.jpg
6367.266774,1777547926.301216,frame_6367.266774.jpg
6367.378747,1777547926.413189,frame_6367.378747.jpg
6367.490271,1777547926.524698,frame_6367.490271.jpg
6367.602770,1777547926.637209,frame_6367.602770.jpg
6367.714748,1777547926.749193,frame_6367.714748.jpg
6367.826266,1777547926.860690,frame_6367.826266.jpg
6367.938791,1777547926.973233,frame_6367.938791.jpg
6368.050184,1777547927.084618,frame_6368.050184.jpg
6368.162423,1777547927.196853,frame_6368.162423.jpg
6368.274591,1777547927.309029,frame_6368.274591.jpg
6368.386458,1777547927.420886,frame_6368.386458.jpg
6368.499120,1777547927.533564,frame_6368.499120.jpg
6368.610709,1777547927.645153,frame_6368.610709.jpg
6368.722187,1777547927.756615,frame_6368.722187.jpg
6368.834642,1777547927.869087,frame_6368.834642.jpg
6368.946425,1777547927.980858,frame_6368.946425.jpg
6369.058282,1777547928.092711,frame_6369.058282.jpg
6369.170844,1777547928.205287,frame_6369.170844.jpg
6369.282693,1777547928.317143,frame_6369.282693.jpg
6369.394249,1777547928.428678,frame_6369.394249.jpg
6369.506775,1777547928.541214,frame_6369.506775.jpg
6369.618693,1777547928.653131,frame_6369.618693.jpg
6369.730168,1777547928.764593,frame_6369.730168.jpg
6369.842736,1777547928.877178,frame_6369.842736.jpg
6369.954284,1777547928.988715,frame_6369.954284.jpg
6370.066256,1777547929.100685,frame_6370.066256.jpg
6370.178642,1777547929.213080,frame_6370.178642.jpg
6370.290530,1777547929.324970,frame_6370.290530.jpg
6370.402298,1777547929.436729,frame_6370.402298.jpg
6370.514688,1777547929.549130,frame_6370.514688.jpg
6370.626849,1777547929.661293,frame_6370.626849.jpg
6370.738213,1777547929.772639,frame_6370.738213.jpg
6370.850604,1777547929.885043,frame_6370.850604.jpg
6370.962280,1777547929.996719,frame_6370.962280.jpg
6371.074294,1777547930.108719,frame_6371.074294.jpg
6371.186737,1777547930.221177,frame_6371.186737.jpg
6371.298681,1777547930.333120,frame_6371.298681.jpg
6371.410166,1777547930.444590,frame_6371.410166.jpg
6371.522900,1777547930.557341,frame_6371.522900.jpg
