ts_mono,force_n
6437.037109,0.604000
6437.111115,0.571000
6437.179840,0.542000
6437.247417,0.494000
6437.315794,0.473000
6437.383184,0.431000
6437.453183,0.398000
6437.519900,0.363000
6437.588253,0.342000
6437.654962,0.318000
6437.723890,0.304000
6437.794897,0.281000
6437.862202,0.274000
6437.930981,0.270000
6437.998545,0.266000
6438.066027,0.264000
6438.139304,0.268000
6438.207831,0.272000
6438.275945,0.281000
6438.347440,0.283000
6438.419513,0.287000
6438.488412,0.290000
6438.555236,0.293000
6438.624283,0.296000
6438.696695,0.299000
6438.765244,0.302000
6438.833857,0.305000
6438.909347,0.309000
6438.977131,0.311000
6439.046476,0.314000
6439.115905,0.316000
6439.183919,0.318000
6439.257053,0.321000
6439.329732,0.323000
6439.398294,0.326000
6439.471504,0.327000
6439.540499,0.330000
6439.612460,0.332000
6439.685404,0.334000
6439.755138,0.336000
6439.822783,0.338000
6439.891544,0.340000
6439.962875,0.341000
6440.036415,0.325000
6440.103529,0.314000
6440.171164,0.296000
6440.240853,0.286000
6440.307152,0.276000
6440.376734,0.256000
6440.444899,0.226000
6440.514506,0.191000
6440.584301,0.161000
6440.652923,0.121000
6440.721558,0.100000
6440.790471,0.100000
6440.860743,0.069000
6440.934886,0.042000
6441.003279,0.043000
6441.073700,0.034000
6441.145725,0.014000
6441.220099,0.018000
6441.288324,0.008000
6441.355622,0.007000
6441.424551,0.020000
6441.494243,0.020000
6441.562575,0.027000
6441.629044,0.028000
6441.696080,0.031000
6441.764232,0.033000
6441.831042,0.036000
6441.898247,0.038000
6441.966950,0.040000
6442.033866,0.043000
6442.108355,0.045000
6442.177333,0.047000
6442.242272,0.049000
6442.310628,0.052000
6442.385547,0.053000
6442.454129,0.056000
6442.522510,0.057000
6442.590533,0.059000
6442.659468,0.060000
6442.730845,0.062000
6442.796727,0.065000
6442.866088,0.065000
6442.942848,0.068000
6443.016967,0.069000
6443.087582,0.071000
6443.157829,0.072000
6443.226546,0.078000
6443.294344,0.083000
6443.362657,0.079000
6443.430477,0.041000
6443.503071,0.056000
6443.571321,0.052000
6443.638840,0.025000
6443.708901,-0.002000
6443.777376,-0.003000
6443.845573,0.012000
6443.912715,-0.004000
6443.980415,-0.015000
6444.052857,-0.008000
6444.119740,-0.019000
6444.186972,0.003000
6444.257168,0.004000
6444.326084,-0.002000
6444.394445,-0.003000
6444.463182,0.006000
6444.529634,0.005000
6444.597460,-0.005000
6444.664264,-0.001000
6444.735558,-0.003000
6444.803501,-0.002000
6444.873861,-0.003000
6444.942962,-0.003000
6445.010683,0.000000
6445.078989,-0.001000
6445.152729,-0.001000
6445.223429,-0.001000
6445.299956,-0.001000
6445.366179,-0.001000
6445.436360,-0.001000
6445.505094,-0.001000
6445.572223,-0.001000
6445.642114,-0.001000
6445.711058,-0.001000
6445.784102,-0.001000
6445.861384,-0.001000
6445.928930,-0.001000
